Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
France,FRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.333409773,0.958866639,1.095733446,-1.042357219,1.96512509,1.716969307,1.029646983,1.975961282,3.175182483,2.876491076,3.166120141,1.215127417,0.385760676,0.10747347,2.032366715,0.844668773,1.663680076,1.73013171,-0.363092337,-3.439412268,1.463151139,1.586720162,-0.301002029,0.100121101,-0.53033207,0.682887508
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.914009701,1.039105331,1.599671214,-0.612652833,2.345385593,2.085084537,1.388004028,2.337333404,3.556201252,3.407099149,3.875162259,1.954449425,1.118456892,0.81953167,2.786424111,1.607713814,2.3749469,2.361498873,0.195294766,-2.941341055,1.965657375,2.079229175,0.182693034,0.576241547,0.259494108,1.155966989
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1.28E+12,1.28E+12,1.41E+12,1.33E+12,1.40E+12,1.61E+12,1.61E+12,1.46E+12,1.51E+12,1.50E+12,1.37E+12,1.38E+12,1.50E+12,1.85E+12,2.12E+12,2.20E+12,2.33E+12,2.66E+12,2.92E+12,2.69E+12,2.65E+12,2.86E+12,2.68E+12,2.81E+12,2.83E+12,2.42E+12
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,1569.739433,1489.689635,1417.868805,1258.136333,1011.98643,935.9852577,872.7091664,991.2301315,835.2603274,635.7727285,635.7128467,780.7380243,879.4750486,1048.522488,1367.352433,1828.717626,2303.018831,3068.608998,3891.037823,2545.480341,2973.996481,3569.757027,3855.42128,3986.282966,3065.164223,2114.954716
Ukraine,UKR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.560006519,-8.601694035,-9.958378442,-14.27368598,-22.55084751,-11.50332081,-9.197764278,-2.112166396,-1.019309603,0.745472426,6.971368638,10.30353901,6.250559549,10.29132276,12.95365583,3.455340217,8.027904662,8.545878643,2.85541816,-14.4209288,4.614794645,5.578853598,0.447899579,0.227964194,-1.194658139,-9.571714919
Ukraine,UKR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.345235128,-8.410643888,-9.69899858,-14.22610688,-22.93404553,-12.20000002,-9.999999983,-3.000000027,-1.899999981,-0.199999989,5.89999999,9.200000012,5.199999972,9.400000012,12.1,2.699999984,7.300000029,7.900000767,2.299999986,-14.80000001,4.200000016,5.200000009,0.199999998,0,-6.60000296,-9.899982989
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,81456918679,77464561150,73942235330,65648559903,52543388913,48214752454,44558076852,50150401354,41883242907,31580961263,31261718319,38009344577,42392896031,50132953288,64883060726,86142018069,1.08E+11,1.43E+11,1.80E+11,1.17E+11,1.36E+11,1.63E+11,1.76E+11,1.81E+11,1.32E+11,90615023324
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,19095.467,19900.72665,20487.17079,18389.01957,19709.2381,21330.27625,22462.50943,24803.14743,26281.04775,26675.9156,26400.65644,25980.22038,28301.20833,32575.09196,38305.87269,40047.90597,42534.30626,48428.15745,45195.15693,37166.27597,38292.87113,41020.37696,41294.5148,42294.89012,46278.52021,43734.00017
United Kingdom,GBR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.253445348,-1.56193437,0.175136685,2.389231886,3.759473959,2.25086603,2.406725845,2.833767415,3.075661346,2.76953254,3.428632217,2.363202221,2.060936647,2.85660512,1.907012712,2.291595881,1.909974792,1.790335826,-1.247160345,-4.91389441,0.747326326,1.178410736,0.47798228,1.478193464,2.080913253,1.504319224
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.553581904,-1.257045499,0.446408127,2.634999891,4.023968099,2.521726173,2.667812646,3.098960561,3.376468167,3.112744032,3.79884463,2.75803547,2.493914266,3.336664571,2.488458121,2.996358264,2.661822553,2.586036583,-0.466876766,-4.19194486,1.54017665,1.972398563,1.179056123,2.159903871,2.852843317,2.329183321
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1.09E+12,1.14E+12,1.18E+12,1.06E+12,1.14E+12,1.24E+12,1.31E+12,1.45E+12,1.54E+12,1.57E+12,1.55E+12,1.54E+12,1.68E+12,1.94E+12,2.30E+12,2.42E+12,2.59E+12,2.97E+12,2.79E+12,2.31E+12,2.40E+12,2.59E+12,2.63E+12,2.71E+12,2.99E+12,2.85E+12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
